sku,nombre,marca,categoria,subcategoria,precio_oferta,precio_lista,precio_mayoreo,costo_usd,proveedor,clave_proveedor,stock,estado_comercial,imagen
A-CPUINT4720,"Procesador Intel® Core™ Ultra 9 285K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y",VECTEC,ssds_m2_nvme,Intel Core Ultra,18413.04,24550.72,16571.74,572.2777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT4720.webp
A-CPUINT4730,"Procesador Intel® Core™ Ultra 7 265K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y",VECTEC,ssds_m2_nvme,Intel Core Ultra,10889.81,14519.74,9800.83,338.4555555555556,CT Internacional,A,15,disponible,assets/img/CPUINT4730.webp
A-CPUINT4740,"Procesador Intel® Core™ Ultra 7 265KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y com",VECTEC,ssds_m2_nvme,Intel Core Ultra,10307.8,13743.73,9277.02,320.3666666666666,CT Internacional,A,15,disponible,assets/img/CPUINT4740.webp
A-CPUINT4750,"Procesador Intel® Core™ Ultra 5 245K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y",VECTEC,ssds_m2_nvme,Intel Core Ultra,6880.8,9174.4,6192.72,213.85555555555555,CT Internacional,A,15,disponible,assets/img/CPUINT4750.webp
A-CPUINT4760,"Procesador Intel® Core™ Ultra 5 245KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y com",VECTEC,ssds_m2_nvme,Intel Core Ultra,6511.86,8682.48,5860.67,202.38888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT4760.webp
A-CPUINT4770,"Procesador Intel® Core™ Ultra 9 para escritorio 285 LGA 1851, 24 cores (8P + 16E) Hasta 5.4 GHz. Compatible con PCIe 5.0",VECTEC,ssds_m2_nvme,Intel Core Ultra,17982.25,23976.33,16184.02,558.8888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT4770.webp
A-CPUINT4780,"Procesador Intel® Core™ Ultra 7 para escritorio 265 LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0",VECTEC,ssds_m2_nvme,Intel Core Ultra,12476.75,16635.67,11229.08,387.77777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT4780.webp
A-CPUINT4790,"Procesador Intel® Core™ Ultra 7 para escritorio 265F LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.",VECTEC,procesadores,Intel Core Ultra,11191.54,14922.05,10072.39,347.8333333333333,CT Internacional,A,15,disponible,assets/img/CPUINT4790.webp
A-CPUINT4800,"Procesador Intel® Core™ Ultra 5 para escritorio 225 LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0",VECTEC,ssds_m2_nvme,Intel Core Ultra,5684.25,7579.0,5115.82,176.66666666666666,CT Internacional,A,15,disponible,assets/img/CPUINT4800.webp
A-CPUINT4810,"Procesador Intel® Core™ Ultra 5 para escritorio 225F LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0",VECTEC,ssds_m2_nvme,Intel Core Ultra,4624.26,6165.68,4161.83,143.7222222222222,CT Internacional,A,15,disponible,assets/img/CPUINT4810.webp
A-CPUINT5030,"Procesador Intel Core Ultra 7 270K Plus BX80768270K, 36 TOPS - 24 núcleos (8+16), 3.2 Ghz base, 5.5 Ghz turbo, 36 MB Cac",VECTEC,procesadores,Intel Core Ultra,10889.81,14519.74,9800.83,338.4555555555556,CT Internacional,A,15,disponible,assets/img/CPUINT5030.webp
A-CPUINT5040,"Procesador Intel Core Ultra 5 250K Plus BX80768250K, 30 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB Cac",VECTEC,procesadores,Intel Core Ultra,7239.38,9652.5,6515.44,225.0,CT Internacional,A,15,disponible,assets/img/CPUINT5040.webp
A-CPUINT5050,"Procesador Intel Core Ultra 5 250KF Plus BX80768250KF, 22 TOPS - 18 núcleos (6+12), 3.3 Ghz base, 5.3 Ghz turbo, 30 MB C",VECTEC,procesadores,Intel Core Ultra,6672.73,8896.98,6005.46,207.38888888888889,CT Internacional,A,15,disponible,assets/img/CPUINT5050.webp
A-CPUINT4440,"Procesador Intel® Core™ i7-14700KF (14.a generación), LGA1700, sin gráficos de procesador. 33 MB caché, 28 hilos. Con te",VECTEC,procesadores,Intel Core i7,12190.75,16254.33,10971.68,378.88888888888886,CT Internacional,A,15,disponible,assets/img/CPUINT4440.webp
A-CPUINT4550,"Procesador Intel® Core™ i7-14700F (14.ª generación), sin procesador gráfico. Con tecnología Intel® Turbo Boost Max 3.0,",VECTEC,procesadores,Intel Core i7,10224.5,13632.67,9202.05,317.77777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT4550.webp
A-CPUINT4430,"Procesador Intel® Core™ i7-14700K (14.ª generación), LGA1700, 33 MB caché, 28 hilos. Con tecnología Intel® Turbo Boost M",VECTEC,procesadores,Intel Core i7,11945.86,15927.82,10751.27,371.27777777777777,CT Internacional,A,15,disponible,assets/img/CPUINT4430.webp
A-CPUINT4540,"Procesador Intel® Core™ i7-14700 (14.ª generación). Con tecnología Intel® Turbo Boost Max 3.0, compatibilidad con PCIe 5",VECTEC,procesadores,Intel Core i7,11440.0,15253.33,10296.0,355.55555555555554,CT Internacional,A,15,disponible,assets/img/CPUINT4540.webp
A-CPUINT4460,"Procesador Intel® Core™ i9-14900KF (14.a generación), LGA1700, sin gráficos de procesador. 36 MB caché, 32 hilos. Con In",VECTEC,procesadores,Intel Core i9,15907.32,21209.76,14316.59,494.4,CT Internacional,A,15,disponible,assets/img/CPUINT4460.webp
A-CPUINT4450,"Procesador Intel® Core™ i9-14900K (14.ª generación), LGA 1700, 36 MB caché, 32 hilos. Con Intel® Thermal Velocity Boost,",VECTEC,procesadores,Intel Core i9,15427.91,20570.55,13885.12,479.5,CT Internacional,A,15,disponible,assets/img/CPUINT4450.webp
A-CPUINT4570,"Procesador Intel® Core™ i9-14900F (14.ª generación), sin procesador gráfico. Con Intel® Thermal Velocity Boost, Intel® T",VECTEC,procesadores,Intel Core i9,17208.26,22944.35,15487.43,534.8333333333334,CT Internacional,A,15,disponible,assets/img/CPUINT4570.webp
A-CPUINT4560,"Procesador Intel® Core™ i9-14900 (14.ª generación). Con Intel® Thermal Velocity Boost, Intel® Turbo Boost Max Technology",VECTEC,procesadores,Intel Core i9,18035.87,24047.83,16232.28,560.5555555555555,CT Internacional,A,15,disponible,assets/img/CPUINT4560.webp
A-CPUINT5080,"Procesador Intel i7-14700 CM8071504820817 VERSION TRAY - SIN DISIPADOR, SIN CAJA, 20 núcleos, 28 subprocesos, 2.1 GHz b",VECTEC,enfriamiento,Intel Core i7,10903.75,14538.33,9813.38,338.88888888888886,CT Internacional,A,15,disponible,assets/img/CPUINT5080.webp
